Ux,Uy,CellID
0.973357,0.000195249,895
0.971604,0.000284931,896
0.970759,0.000334544,897
0.989582,-0.0109647,898
0.988975,-0.0106755,899
0.988507,-0.0103793,900
0.988167,-0.0100787,901
0.987963,-0.0097734,902
0.987923,-0.00946368,903
0.988092,-0.00914976,904
0.988537,-0.00883126,905
0.989334,-0.00850677,906
0.990566,-0.00817327,907
0.992301,-0.0078256,908
0.994573,-0.00745635,909
0.997349,-0.00705618,910
1.00051,-0.00661521,911
1.00385,-0.00612509,912
1.00705,-0.00558179,913
1.00976,-0.0049881,914
1.01164,-0.00435497,915
1.0124,-0.00370076,916
0.983638,-0.0203819,917
0.983613,-0.0196807,918
0.983519,-0.0189785,919
0.983368,-0.0182734,920
0.983152,-0.0175652,921
0.982848,-0.0168523,922
0.982415,-0.016133,923
0.981792,-0.0154054,924
0.9809,-0.014668,925
0.979652,-0.0139202,926
0.977961,-0.0131632,927
0.975772,-0.012401,928
0.973083,-0.01164,929
0.96998,-0.0108894,930
0.966659,-0.0101587,931
0.963422,-0.00945568,932
0.960645,-0.00878364,933
0.95871,-0.00813921,934
0.957916,-0.00751247,935
0.976599,-0.0247696,936
0.975975,-0.024253,937
0.97545,-0.023716,938
0.975012,-0.0231618,939
0.974662,-0.0225888,940
0.974422,-0.0219962,941
0.974328,-0.0213839,942
0.974438,-0.0207523,943
0.974831,-0.0201017,944
0.975601,-0.0194324,945
0.976841,-0.0187436,946
0.978622,-0.0180324,947
0.980956,-0.0172929,948
0.983766,-0.0165169,949
0.986858,-0.0156943,950
0.98992,-0.0148166,951
0.992561,-0.0138799,952
0.99438,-0.0128885,953
0.99506,-0.0118552,954
0.969619,-0.0348994,955
0.969245,-0.0338454,956
0.968812,-0.0327718,957
0.968328,-0.0316782,958
0.967789,-0.0305666,959
0.96718,-0.0294376,960
0.96647,-0.0282912,961
0.965611,-0.0271271,962
0.964535,-0.0259451,963
0.963158,-0.0247456,964
0.961385,-0.0235303,965
0.959133,-0.0223037,966
0.956365,-0.0210742,967
0.953127,-0.0198546,968
0.949587,-0.0186607,969
0.946052,-0.0175084,970
0.942936,-0.016409,971
0.940689,-0.0153642,972
0.939679,-0.0143638,973
0.960444,-0.0401305,974
0.959449,-0.0393191,975
0.958534,-0.0384715,976
0.957689,-0.0375916,977
0.956913,-0.0366772,978
0.95622,-0.0357279,979
0.955642,-0.0347445,980
0.95523,-0.0337289,981
0.955058,-0.032684,982
0.955222,-0.031613,983
0.955833,-0.0305183,984
0.956994,-0.0293997,985
0.95877,-0.0282525,986
0.961139,-0.0270653,987
0.963951,-0.0258205,988
0.966905,-0.0244975,989
0.969571,-0.0230781,990
0.97147,-0.0215556,991
0.972192,-0.0199401,992
0.951508,-0.0517323,993
0.950605,-0.050109,994
0.949647,-0.0484512,995
0.94865,-0.0467606,996
0.947622,-0.0450421,997
0.94656,-0.0432983,998
0.945452,-0.0415313,999
0.94427,-0.0397427,1000
0.942964,-0.0379336,1001
0.941461,-0.0361046,1002
0.93966,-0.0342569,1003
0.937449,-0.0323945,1004
0.934731,-0.0305263,1005
0.931471,-0.0286693,1006
0.927758,-0.026849,1007
0.92385,-0.0250969,1008
0.920183,-0.0234433,1009
0.917304,-0.0219058,1010
0.915729,-0.0204787,1011
0.939657,-0.0597134,1012
0.93809,-0.0584621,1013
0.936612,-0.0571525,1014
0.935214,-0.0557931,1015
0.933895,-0.0543851,1016
0.932669,-0.0529316,1017
0.931559,-0.051437,1018
